id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4959767,San Felipe,19110429,Gary,,Centro,36.72475,-4.42104,Entire home/apt,110,4,96,2023-12-10,0.85,2,225,6,VFT/MA/02156
4964312,Apartamento de diseño en el centro.,14995276,Juanma,,Centro,36.72345,-4.4184,Entire home/apt,96,5,22,2024-06-21,0.20,2,317,14,VFT/MA/06336
4972368,Almendro amazing views with pool and Tennis,25632968,Claire,,Este,36.75913,-4.32502,Entire home/apt,316,1,2,2021-06-20,0.05,8,342,0,A/MA/01290
4972409,El Bougainvillea with pool and amazing views,25632968,Claire,,Este,36.75861,-4.32466,Entire home/apt,287,1,2,2021-07-11,0.05,8,319,0,A/MA/01290
4972419,"Jasmine with amazing views, pool and tennis",25632968,Claire,,Este,36.758614,-4.324664,Entire home/apt,287,1,0,,,8,320,0,
4975478,"Charming, spacious & central",2986899,Andrés,,Centro,36.73031,-4.4149,Entire home/apt,87,3,304,2024-06-29,2.66,5,94,40,VFT/MA/08684
5004455,CASA EN HUELIN - PLAYA A 350 METROS,25807328,Edouard,,Carretera de Cadiz,36.70248,-4.43823,Entire home/apt,199,5,51,2024-06-29,1.68,1,129,20,CTC-2019 225110
5008911,Stylish 2 bedroom  in Malaga Center,16663600,Maria,,Centro,36.72104,-4.41911,Entire home/apt,120,4,77,2024-06-18,0.69,6,88,24,VFT/MA/03902
5010659,Victoria 13- F. FreshApartments by Bossh!,3376700,Freshlanding,,Centro,36.725,-4.41728,Entire home/apt,113,2,74,2024-05-31,0.66,68,229,5,VFT/MA/01197
5032172,Frailes  3A  FreshApartments by Bossh,3376700,Freshlanding,,Centro,36.72416,-4.41734,Entire home/apt,95,2,102,2024-06-15,0.91,68,182,30,VFT/MA/13250
5032238,Frailes 1A  FreshApartments by Bossh Hotels,3376700,Freshlanding,,Centro,36.7259,-4.41786,Entire home/apt,92,2,89,2024-05-04,0.77,68,180,14,VFT/MA/13249
5054197,Beautiful house next to the beach for groups,24396572,Jose Carlos,,Este,36.72193,-4.3781,Entire home/apt,553,3,115,2024-06-03,1.06,1,84,7,VFT/MA/06026
5068826,"PASEANDO AL CENTRO HISTÓRICO , 2 BAÑOS,WIFI GRATIS",20388134,Olga,,Centro,36.7204,-4.43107,Entire home/apt,73,150,59,2020-08-31,0.52,1,180,0,VFT/MA/00211
5075813,"Confortable, tranquilo y céntrico.",26160719,Catalina,,Centro,36.71475,-4.42865,Entire home/apt,74,2,426,2024-06-19,3.72,3,202,68,CTC-201656856
5090164,New luxury 1 bedr Malaga's Center,16663600,Maria,,Centro,36.72073,-4.41885,Entire home/apt,99,4,31,2024-02-07,0.28,6,203,7,VFT/MA/03176
5114247,Homely apartament,7222872,Ana,,Centro,36.72682,-4.41357,Entire home/apt,78,3,12,2023-02-22,0.11,2,103,0,VFT/MA/02022
5129075,Studio apartment in Malaga,10333494,Carlos,,Este,36.72947,-4.36636,Entire home/apt,91,7,33,2024-02-24,0.30,2,296,1,CTC-201665824
5155803,Apartment Plaza Constitucion Malaga 3rd F/Elevator,26662922,Manuel,,Centro,36.71992,-4.42215,Entire home/apt,999,3,16,2019-06-14,0.15,1,365,0,VFT/MA/0150
5173938,Nice apartment near downtown + Free Parking,25430691,Carlos,,Centro,36.72793,-4.41209,Entire home/apt,75,3,322,2024-06-14,2.84,1,209,54,VFT/MA/00382
5181473,Real spanish life in Malaga,26798879,Louise,,Este,36.71913,-4.36795,Entire home/apt,86,3,84,2024-06-27,0.75,1,182,20,CTC-2018080505
5189296,Bright Spacious Cozy Apt in Historic Malaga Shops,5344810,Brian,,Centro,36.72666,-4.42289,Entire home/apt,174,3,154,2024-04-02,1.40,6,82,10,CTC-2016144491
5216030,Apartamento en plaza de la merced. Centro Malaga.,14995276,Juanma,,Centro,36.724,-4.41766,Entire home/apt,65,5,22,2024-01-01,0.20,2,154,3,VFT/MA/01111
5223856,Sunshine Studio! Culture & Relax in the Center,611895,Luis & Celeste,,Centro,36.72452,-4.42188,Entire home/apt,94,4,357,2024-06-17,3.21,3,21,46,CTC-201655245
5229627,Malaga city center,27063270,Mercedes,,Centro,36.72954,-4.41371,Entire home/apt,91,5,123,2024-06-24,1.10,1,11,23,CTC-2017005952
5247595,Private Terrace&Parking Penthouse in Center,19614259,Cristian,,Centro,36.724072,-4.421082,Entire home/apt,147,4,116,2024-06-23,1.05,2,213,18,VUT/MA/78834
5267716,Studio Flat in Historical Center 1,22835439,Bruno,,Centro,36.72469,-4.42567,Entire home/apt,107,2,21,2024-02-25,0.19,17,81,3,A/MA/01382
5318561,Malaga City Center Apartment,27552920,Adrian,,Centro,36.72233,-4.42107,Entire home/apt,300,3,48,2024-04-16,0.43,1,356,9,VFT/MA/08893
5377809,Apartment in Malaga Historic Centre,2489890,Fede,,Centro,36.71919250488281,-4.424235820770264,Entire home/apt,106,4,188,2024-06-09,1.67,12,91,20,VFT/MA/01615
5381012,Apartamento diseño - estudio,27587047,Apartamentos Gibralfaro,,Centro,36.72111,-4.42067,Entire home/apt,158,1,10,2022-10-01,0.09,4,260,0,A/MA/01261
5381100,Apartamento de 1 habitacion,27587047,Apartamentos Gibralfaro,,Centro,36.72145,-4.42089,Entire home/apt,208,1,3,2022-09-14,0.12,4,316,0,A/MA/01261
5382038,Quiet Apartment Historical Center 2,22835439,Bruno,,Centro,36.72326,-4.4263,Entire home/apt,107,2,14,2023-06-12,0.12,17,73,0,A/MA/01382
